,step,discrim_loss,gen_loss_GAN,gen_loss_L2,gen_loss_SSIM,gen_loss_squirrel,squirrel_discrim_loss,gen_loss_frc_int,gen_loss_frc_mean,gen_loss_frc_log,gen_loss_frc_lin,gen_loss_frc_exp
0,249,0.6854982972145081,0.6483540534973145,0.08352816849946976,0.6331856846809387,0.9157454967498779,0.9156097769737244,0.9717659950256348,0.5703253149986267,0.9010682702064514,0.4097985625267029,0.4873155355453491
1,499,0.461750864982605,0.6211840510368347,0.04089244455099106,0.594321608543396,0.9907070994377136,0.9906681180000305,1.0405330657958984,0.6111210584640503,0.9619783163070679,0.43927058577537537,0.5221692323684692
2,749,0.36411991715431213,0.6395304799079895,0.03320649638772011,0.5766804814338684,0.9967289566993713,0.9966579079627991,1.041175365447998,0.613773763179779,0.9636297821998596,0.4413761794567108,0.5245072841644287
3,999,0.3353186845779419,0.6452848315238953,0.02899032272398472,0.5610405206680298,0.9972200393676758,0.9972395896911621,1.0428520441055298,0.6146191358566284,0.9653980731964111,0.44118404388427734,0.5248570442199707
4,1249,0.3163544237613678,0.6954745054244995,0.02698882296681404,0.5575705766677856,0.997308075428009,0.9972957372665405,1.0173271894454956,0.6049004197120667,0.940451979637146,0.43083009123802185,0.5150171518325806
5,1499,0.20600247383117676,0.8081510066986084,0.026837045326828957,0.5402145981788635,0.9972879886627197,0.9973117709159851,1.0154770612716675,0.6035608053207397,0.938058614730835,0.4283598065376282,0.5131106376647949
6,1749,0.22340436279773712,0.7958141565322876,0.02363237366080284,0.528563916683197,0.9972192049026489,0.9971855878829956,1.0048348903656006,0.5979812741279602,0.925553560256958,0.4238736629486084,0.5081016421318054
7,1999,0.14646399021148682,0.8916597962379456,0.026070192456245422,0.5439774990081787,0.9972291588783264,0.997137725353241,1.0175961256027222,0.604880690574646,0.9408559799194336,0.43061527609825134,0.514797568321228
8,2249,0.15038859844207764,0.8984675407409668,0.02396879903972149,0.5312952399253845,0.9971639513969421,0.9970607161521912,1.0047420263290405,0.6006500720977783,0.9291651248931885,0.42615172266960144,0.5105344653129578
9,2499,0.10410335659980774,0.9251930117607117,0.024246253073215485,0.5322157144546509,0.997195839881897,0.9972562193870544,1.0132701396942139,0.6036366820335388,0.9369552135467529,0.4297868609428406,0.5137965679168701
10,2749,0.13969963788986206,0.8963402509689331,0.02606670930981636,0.5260248184204102,0.9971923232078552,0.997187614440918,1.0031096935272217,0.5991694927215576,0.9263419508934021,0.4247925281524658,0.509121298789978
11,2999,0.09839867055416107,0.9220246076583862,0.022754771634936333,0.5335144996643066,0.9971742033958435,0.9971519708633423,0.9860959649085999,0.5940227508544922,0.9114145636558533,0.41876259446144104,0.5036307573318481
12,3249,0.11480950564146042,0.9163373112678528,0.022118089720606804,0.5230579376220703,0.9972463250160217,0.997194766998291,0.9947237968444824,0.5971252918243408,0.9195957183837891,0.42259255051612854,0.5070116519927979
13,3499,0.09882663935422897,0.9232146143913269,0.022673893719911575,0.5289236307144165,0.9973019957542419,0.9973316788673401,0.9886865019798279,0.594245433807373,0.9129301309585571,0.41972580552101135,0.5042018890380859
