,step,discrim_loss,gen_loss_GAN,gen_loss_L2,gen_loss_SSIM,gen_loss_squirrel,squirrel_discrim_loss,gen_loss_frc_int,gen_loss_frc_mean,gen_loss_frc_log,gen_loss_frc_lin,gen_loss_frc_exp
0,249,3.09027361869812,1.914658546447754,0.04308492690324783,0.49211010336875916,0.9135527014732361,0.9159456491470337,1.03085458278656,0.5887447595596313,0.9531932473182678,0.43073704838752747,0.5066514015197754
1,499,3.3419137001037598,2.0715184211730957,0.025179795920848846,0.5144652724266052,0.9883255362510681,0.9908247590065002,1.0608221292495728,0.6191771626472473,0.9821922779083252,0.4475683271884918,0.5302602648735046
2,749,3.3340260982513428,2.0692050457000732,0.023401008918881416,0.5178931355476379,0.9943411350250244,0.9969272017478943,1.066588282585144,0.6230801343917847,0.9880096316337585,0.4506625235080719,0.533699631690979
3,999,3.342925548553467,2.074432134628296,0.022836104035377502,0.5030353665351868,0.9948264360427856,0.9973982572555542,1.0367392301559448,0.6122931241989136,0.9596036076545715,0.43811288475990295,0.5222160220146179
4,1249,3.3535985946655273,2.0797290802001953,0.02290649153292179,0.5049460530281067,0.9949018955230713,0.9975717663764954,1.0341871976852417,0.6110012531280518,0.9564996361732483,0.4355962574481964,0.520336389541626
5,1499,3.3445775508880615,2.0754456520080566,0.021541500464081764,0.49628904461860657,0.9948732256889343,0.9975383281707764,1.0293197631835938,0.6078378558158875,0.9500629901885986,0.43388831615448,0.5179249048233032
6,1749,3.35636043548584,2.0815846920013428,0.02242349274456501,0.5058239698410034,0.9949418902397156,0.9976043701171875,1.0255787372589111,0.6070687770843506,0.947341799736023,0.43274638056755066,0.5169665217399597
7,1999,3.370422840118408,2.0880279541015625,0.021477529779076576,0.4926571249961853,0.9949408173561096,0.9973534345626831,1.022396206855774,0.6064530611038208,0.9450342655181885,0.43262675404548645,0.516604483127594
8,2249,3.343139886856079,2.0740127563476562,0.021028613671660423,0.496599018573761,0.9949576258659363,0.9975199699401855,1.0004584789276123,0.5991828441619873,0.9252117872238159,0.42498457431793213,0.509231686592102
9,2499,3.382718086242676,2.0927252769470215,0.022076327353715897,0.5097879767417908,0.9948899745941162,0.9974099397659302,1.011226773262024,0.6030318140983582,0.9352492094039917,0.4283522069454193,0.5128145217895508
10,2749,3.3665199279785156,2.0850703716278076,0.02141481824219227,0.49969232082366943,0.9949612021446228,0.9976010918617249,1.0104498863220215,0.6021432280540466,0.9337604641914368,0.42705538868904114,0.5117542147636414
11,2999,3.3453433513641357,2.075493574142456,0.022477176040410995,0.4974813461303711,0.9948970079421997,0.9974997639656067,0.997703492641449,0.5966782569885254,0.9205305576324463,0.42186036705970764,0.5064545273780823
12,3249,3.350919246673584,2.07847261428833,0.021693333983421326,0.4999367892742157,0.9949176907539368,0.9975059628486633,1.0051652193069458,0.6003212332725525,0.9288318157196045,0.42593201994895935,0.5102434754371643
13,3499,3.338857889175415,2.070903778076172,0.021768081933259964,0.49817249178886414,0.9949361085891724,0.9974437355995178,1.022789478302002,0.6059741377830505,0.9446771144866943,0.4314824044704437,0.5157809257507324
14,3749,3.3716654777526855,2.0884907245635986,0.021600857377052307,0.5053059458732605,0.9949080944061279,0.9975144267082214,1.0046204328536987,0.6005027890205383,0.9287039637565613,0.4248605966567993,0.5098254084587097
15,3999,3.370598793029785,2.0882623195648193,0.02021595649421215,0.49694010615348816,0.9949133396148682,0.9973284006118774,1.0135033130645752,0.6019686460494995,0.9351512789726257,0.4277990460395813,0.5119993090629578
16,4249,3.3638439178466797,2.0846240520477295,0.020156679674983025,0.4907267689704895,0.9949108958244324,0.9973218441009521,0.9944526553153992,0.5967433452606201,0.9191003441810608,0.4215119779109955,0.5063046216964722
17,4499,3.358647346496582,2.0812387466430664,0.020565373823046684,0.49037712812423706,0.9948967099189758,0.9975624084472656,0.9926788210868835,0.5956289768218994,0.9166965484619141,0.42078712582588196,0.5053842663764954
18,4749,3.355954885482788,2.078692674636841,0.020312897861003876,0.48793312907218933,0.9948865175247192,0.9974868297576904,0.9717603921890259,0.5874646902084351,0.8960632681846619,0.4112580716609955,0.4966806173324585
19,4999,3.3428823947906494,2.074531078338623,0.020319420844316483,0.49441295862197876,0.9949235916137695,0.9975335597991943,1.0029162168502808,0.5994667410850525,0.9266964793205261,0.4242033064365387,0.5089887976646423
20,5249,3.3531365394592285,2.077657699584961,0.019672201946377754,0.5018869042396545,0.9949117302894592,0.9973772168159485,0.9866676926612854,0.5937923789024353,0.911411464214325,0.4178926348686218,0.5031012892723083
21,5499,3.3559679985046387,2.0818068981170654,0.02010117657482624,0.4896770119667053,0.9949464797973633,0.9972880482673645,0.9956566095352173,0.5961631536483765,0.9189252257347107,0.4218323230743408,0.5062183141708374
22,5749,3.353670835494995,2.0800986289978027,0.02087266929447651,0.4907384514808655,0.9949234127998352,0.9975367784500122,0.9703830480575562,0.5874269604682922,0.8953576683998108,0.4115357995033264,0.4968198239803314
23,5999,3.375640392303467,2.0911591053009033,0.020004581660032272,0.49733206629753113,0.9948795437812805,0.9974700212478638,0.9667280912399292,0.5852460861206055,0.8907463550567627,0.40972259640693665,0.49484238028526306
24,6249,3.371987819671631,2.0882961750030518,0.019901562482118607,0.4866965711116791,0.9949193000793457,0.9974779486656189,0.9866684079170227,0.5937368273735046,0.9115110039710999,0.41809117794036865,0.5031443238258362
25,6499,3.387660503387451,2.0967721939086914,0.01893766038119793,0.48197436332702637,0.9949377179145813,0.9974862933158875,0.9667133688926697,0.5859668850898743,0.8918663263320923,0.4101729989051819,0.4954189658164978
26,6749,3.3774337768554688,2.091392755508423,0.02070143260061741,0.4972047209739685,0.994959831237793,0.9974480271339417,0.981852650642395,0.5912482142448425,0.9059373140335083,0.4159718155860901,0.5008686184883118
27,6999,3.3445749282836914,2.0735790729522705,0.019270457327365875,0.4895078241825104,0.9949560165405273,0.9975319504737854,0.9769551157951355,0.5898736119270325,0.9016987681388855,0.41376641392707825,0.49910861253738403
28,7249,3.3548028469085693,2.0787222385406494,0.020645417273044586,0.49913644790649414,0.9949290156364441,0.9974468946456909,0.9720470905303955,0.5890210270881653,0.8983267545700073,0.4127093255519867,0.4982127845287323
29,7499,3.357713222503662,2.0816140174865723,0.019685707986354828,0.48323068022727966,0.9949366450309753,0.9976276755332947,0.9649474024772644,0.5851348042488098,0.8898369073867798,0.40853816270828247,0.49419453740119934
30,7749,3.3642690181732178,2.0846917629241943,0.019558044150471687,0.4872523844242096,0.9949296116828918,0.9974356293678284,0.9706940650939941,0.5879427790641785,0.8960704207420349,0.4122045338153839,0.49738216400146484
31,7999,3.380518913269043,2.093107223510742,0.019632326439023018,0.48837223649024963,0.9948636293411255,0.9974821209907532,0.9476523399353027,0.5780553221702576,0.8724424242973328,0.4013745188713074,0.48719412088394165
32,8249,3.3491950035095215,2.0770161151885986,0.020063001662492752,0.48256993293762207,0.9948855042457581,0.9974454641342163,0.9517771005630493,0.5792115330696106,0.8759692907333374,0.403658390045166,0.48888009786605835
33,8499,3.3535618782043457,2.0785584449768066,0.019788062199950218,0.4905965030193329,0.9949405193328857,0.9974626302719116,0.9626684784889221,0.5839594602584839,0.8871524333953857,0.40804779529571533,0.4934011399745941
34,8749,3.366665840148926,2.0857837200164795,0.01856771856546402,0.4793751537799835,0.9949071407318115,0.9974720478057861,0.9653228521347046,0.5853157043457031,0.8902553915977478,0.40823477506637573,0.49412858486175537
35,8999,3.358229160308838,2.0826056003570557,0.019993606954813004,0.4869183897972107,0.9949007630348206,0.9975064992904663,0.9694668650627136,0.5859909653663635,0.8930705189704895,0.4108315110206604,0.4957927465438843
36,9249,3.330827236175537,2.0675394535064697,0.019860118627548218,0.4846082925796509,0.9948656558990479,0.9975129961967468,0.9488790035247803,0.5781443119049072,0.8729613423347473,0.4020715355873108,0.48756733536720276
37,9499,3.347208023071289,2.0754966735839844,0.019366171211004257,0.47797906398773193,0.9949290752410889,0.997473418712616,0.9422825574874878,0.5768359899520874,0.8681812882423401,0.4002038538455963,0.4860493838787079
38,9749,3.3601555824279785,2.0830698013305664,0.019249597564339638,0.48166677355766296,0.9949564933776855,0.9975156784057617,0.9516274929046631,0.5792874693870544,0.875918984413147,0.40366360545158386,0.48894765973091125
39,9999,3.363187789916992,2.0845820903778076,0.018828729167580605,0.47564172744750977,0.9949167370796204,0.9974169731140137,0.9550374150276184,0.5800397992134094,0.8785733580589294,0.40461647510528564,0.4897422194480896
40,10249,3.352001905441284,2.078143835067749,0.018801424652338028,0.4926324188709259,0.9949183464050293,0.9974657297134399,0.9572542309761047,0.5830390453338623,0.8834804892539978,0.40670129656791687,0.4923083484172821
41,10499,3.3647806644439697,2.0843958854675293,0.019617145881056786,0.4882539212703705,0.9948954582214355,0.9975289702415466,0.9353035688400269,0.5746076107025146,0.8618636727333069,0.39729925990104675,0.48353156447410583
42,10749,3.3671278953552246,2.0855343341827393,0.01970059983432293,0.4828105568885803,0.9949323534965515,0.9975724816322327,0.9326955080032349,0.5717805624008179,0.8572493195533752,0.3955700993537903,0.48125502467155457
43,10999,3.3504302501678467,2.077045202255249,0.019333286210894585,0.481219083070755,0.9948391914367676,0.9975215196609497,0.9308785200119019,0.5702720880508423,0.8542322516441345,0.39402860403060913,0.4797636866569519
44,11249,3.357748508453369,2.080606460571289,0.019212668761610985,0.479073166847229,0.9948773384094238,0.9974460601806641,0.9353822469711304,0.572308361530304,0.8591158986091614,0.39669090509414673,0.4820398688316345
45,11499,3.368584156036377,2.087829351425171,0.018409525975584984,0.47826313972473145,0.9949671626091003,0.9976296424865723,0.930245578289032,0.5694401264190674,0.853156328201294,0.394208699464798,0.479422003030777
46,11749,3.342564821243286,2.0739662647247314,0.018136855214834213,0.4810316860675812,0.9948815107345581,0.9973452687263489,0.946783721446991,0.5775555372238159,0.8714441657066345,0.40117403864860535,0.4868372082710266
47,11999,3.3484745025634766,2.076565742492676,0.019300494343042374,0.4855082929134369,0.9949244260787964,0.9974873661994934,0.9276106357574463,0.5691812038421631,0.8513789176940918,0.3929483890533447,0.47866714000701904
48,12249,3.368588924407959,2.086991786956787,0.018813500180840492,0.47639986872673035,0.9949130415916443,0.9975249171257019,0.9279040694236755,0.5697334408760071,0.8520777821540833,0.39344295859336853,0.47918498516082764
