,step,discrim_loss,gen_loss_GAN,gen_loss_L2,gen_loss_SSIM,gen_loss_squirrel,squirrel_discrim_loss,gen_loss_frc_int,gen_loss_frc_mean,gen_loss_frc_log,gen_loss_frc_lin,gen_loss_frc_exp
0,249,0.7912991046905518,0.4010542035102844,0.028463242575526237,0.4798062741756439,0.9135615825653076,0.9154810309410095,1.0476547479629517,0.5951683521270752,0.9697641134262085,0.43215590715408325,0.5107201933860779
1,499,0.6230759024620056,0.3180743455886841,0.024131426587700844,0.5023336410522461,0.9884670376777649,0.9904251098632812,1.1012717485427856,0.6351112127304077,1.0225204229354858,0.45825162529945374,0.5436105728149414
2,749,0.5889540910720825,0.298795610666275,0.022269951179623604,0.5048659443855286,0.9945254921913147,0.9963916540145874,1.101567029953003,0.6362897157669067,1.0221022367477417,0.458334743976593,0.5441544055938721
3,999,0.5617932081222534,0.28519272804260254,0.022748330608010292,0.499209463596344,0.9950610995292664,0.9970524907112122,1.0839120149612427,0.6302629113197327,1.0055965185165405,0.4527660310268402,0.5384289026260376
4,1249,0.5617223978042603,0.28444671630859375,0.022966472432017326,0.49996739625930786,0.9950671792030334,0.9970458149909973,1.0604649782180786,0.6223475337028503,0.9841312170028687,0.4430098235607147,0.5297521948814392
5,1499,0.581473171710968,0.2924964427947998,0.021679800003767014,0.505424439907074,0.995028555393219,0.9969199299812317,1.058024525642395,0.6209405660629272,0.9809451103210449,0.44149050116539,0.5282903909683228
6,1749,0.5432772040367126,0.2735861539840698,0.02147836796939373,0.4848274290561676,0.9950644969940186,0.9970793724060059,1.0564277172088623,0.6210112571716309,0.980496346950531,0.4419640302658081,0.5284969210624695
7,1999,0.5507545471191406,0.27939873933792114,0.02165975049138069,0.48847708106040955,0.9950581789016724,0.9970624446868896,1.046008825302124,0.6165340542793274,0.9696674942970276,0.43717601895332336,0.5239477753639221
8,2249,0.5431117415428162,0.288720041513443,0.021453246474266052,0.4890282154083252,0.9950000643730164,0.9969923496246338,1.0540426969528198,0.6200493574142456,0.9780018329620361,0.4410165846347809,0.5275142788887024
9,2499,0.5657427906990051,0.3263392746448517,0.0217277891933918,0.4978981614112854,0.9950749278068542,0.9970309734344482,1.05122971534729,0.6171828508377075,0.9727774262428284,0.4383803904056549,0.5248727202415466
10,2749,0.5219136476516724,0.37109455466270447,0.020286519080400467,0.48155325651168823,0.9950440526008606,0.9970594048500061,1.0446667671203613,0.6139760613441467,0.9655463099479675,0.43589821457862854,0.5220171213150024
11,2999,0.3926696479320526,0.580997884273529,0.021140292286872864,0.49226558208465576,0.9950063824653625,0.9969345331192017,1.0482460260391235,0.617777943611145,0.9722743034362793,0.43842217326164246,0.5251440405845642
12,3249,0.2156449258327484,0.7888031601905823,0.021974433213472366,0.4944852590560913,0.9950605034828186,0.9969030022621155,1.0522631406784058,0.6175402998924255,0.9737764596939087,0.4391082525253296,0.5253865122795105
13,3499,0.15311375260353088,0.8626773357391357,0.02204868756234646,0.4942428767681122,0.9950081706047058,0.9970718026161194,1.0371299982070923,0.6126338243484497,0.9603294134140015,0.4327578544616699,0.5197805762290955
14,3749,0.12637396156787872,0.8950427770614624,0.020651310682296753,0.4901256561279297,0.995063841342926,0.9972614049911499,1.0297681093215942,0.6105548739433289,0.9540299773216248,0.43105122447013855,0.5179874300956726
15,3999,0.11650363355875015,0.9115901589393616,0.020928947255015373,0.48939311504364014,0.9950181841850281,0.9970218539237976,1.0418574810028076,0.615778386592865,0.9665639996528625,0.4366047978401184,0.5232269763946533
16,4249,0.07831284403800964,0.9542745351791382,0.02091100998222828,0.5016758441925049,0.9949992299079895,0.9969767928123474,1.0556395053863525,0.6212422847747803,0.9803544282913208,0.44213739037513733,0.5286087393760681
17,4499,0.08949214965105057,0.9307307600975037,0.021122382953763008,0.4842539131641388,0.995028555393219,0.9971147179603577,1.0230591297149658,0.6083160638809204,0.9478372931480408,0.42817452549934387,0.5153984427452087
18,4749,0.13297317922115326,0.9047176241874695,0.020942840725183487,0.48303553462028503,0.9950439929962158,0.9970084428787231,1.0262469053268433,0.6103581190109253,0.9521995186805725,0.4307539463043213,0.5176779627799988
19,4999,0.05622532218694687,0.9630312919616699,0.021140314638614655,0.4927446246147156,0.995055615901947,0.9970301985740662,1.0359426736831665,0.6129330992698669,0.960211992263794,0.4337834417819977,0.5204654335975647
20,5249,0.07410784810781479,0.9552392363548279,0.01948382891714573,0.48283639550209045,0.9950398802757263,0.9969786405563354,1.0240503549575806,0.609732449054718,0.9502586722373962,0.4296756982803345,0.5168187022209167
21,5499,0.08882387727499008,0.9383029341697693,0.020488830283284187,0.4904971718788147,0.9950240254402161,0.9970075488090515,1.0296502113342285,0.61173015832901,0.9554930925369263,0.431977778673172,0.5189783573150635
22,5749,0.05269084498286247,0.9596244692802429,0.021159306168556213,0.49095767736434937,0.9950040578842163,0.996874213218689,1.029463768005371,0.6101815700531006,0.9533458948135376,0.4312140941619873,0.5177963376045227
23,5999,0.049041084945201874,0.9789692759513855,0.02067941427230835,0.49144047498703003,0.9950370788574219,0.9970702528953552,1.0288939476013184,0.6108375787734985,0.9540088176727295,0.431220144033432,0.5181504487991333
24,6249,0.04539143294095993,0.9651103019714355,0.019937789067626,0.4800795614719391,0.9950492978096008,0.9970179200172424,1.0083789825439453,0.6040154099464417,0.9352740049362183,0.42444804310798645,0.5114331245422363
25,6499,0.08701778203248978,0.9665030837059021,0.021075453609228134,0.48668959736824036,0.9950404167175293,0.9969723224639893,1.0320320129394531,0.6109336614608765,0.9555759429931641,0.4315488040447235,0.518312931060791
26,6749,0.06485427916049957,0.9635540843009949,0.019971437752246857,0.47472578287124634,0.9950450658798218,0.9970263242721558,0.9983155131340027,0.600105881690979,0.9253154397010803,0.4188745319843292,0.5067704916000366
27,6999,0.046708352863788605,0.9849002361297607,0.020713968202471733,0.4938969612121582,0.9949957132339478,0.9969245791435242,1.0254995822906494,0.6094876527786255,0.9506699442863464,0.4303004741668701,0.5170228481292725
28,7249,0.07252046465873718,0.9774697422981262,0.01964808814227581,0.4901912808418274,0.9950188994407654,0.9969106912612915,1.0246187448501587,0.6099672317504883,0.9507977962493896,0.43017491698265076,0.5171560645103455
29,7499,0.038695938885211945,0.9814984202384949,0.020444992929697037,0.48514100909233093,0.9950202703475952,0.997031033039093,1.0033602714538574,0.6011801362037659,0.9290986061096191,0.421112984418869,0.5084298253059387
30,7749,0.044607214629650116,0.9714756608009338,0.0199729111045599,0.4889603853225708,0.9950685501098633,0.9969625473022461,1.0095570087432861,0.6039947271347046,0.935782253742218,0.42349299788475037,0.5110304951667786
31,7999,0.06486155092716217,0.972567081451416,0.02026491053402424,0.48878195881843567,0.9950260519981384,0.9969600439071655,0.9992870092391968,0.6000967025756836,0.9258125424385071,0.42041659355163574,0.5075052380561829
32,8249,0.033612024039030075,0.9812533855438232,0.02049356885254383,0.4791378676891327,0.9950112700462341,0.9971029162406921,0.9868581891059875,0.5943137407302856,0.9122561812400818,0.41484570503234863,0.5018970370292664
33,8499,0.032343070954084396,0.9893060326576233,0.020673124119639397,0.48327216506004333,0.9949906468391418,0.9971466064453125,1.001389980316162,0.6007393002510071,0.9276639223098755,0.42075568437576294,0.5079726576805115
34,8749,0.0326414592564106,0.9940568208694458,0.019622359424829483,0.48778611421585083,0.9950100779533386,0.9968551397323608,1.0232601165771484,0.608176589012146,0.947823703289032,0.4287152588367462,0.5155429244041443
35,8999,0.05425132066011429,0.9724162220954895,0.020187314599752426,0.4798612892627716,0.9950041174888611,0.9969504475593567,0.9990363717079163,0.6011961698532104,0.9270187616348267,0.4194430708885193,0.5075785517692566
36,9249,0.046439047902822495,0.9677391052246094,0.020032484084367752,0.48242881894111633,0.99500972032547,0.997058629989624,1.0037158727645874,0.6020755171775818,0.9304589033126831,0.42119482159614563,0.5088284611701965
37,9499,0.0348617322742939,0.9826398491859436,0.01808316446840763,0.46105870604515076,0.9950032830238342,0.9970376491546631,0.9760929346084595,0.5916116833686829,0.9035764932632446,0.4118790328502655,0.49910804629325867
38,9749,0.03954121842980385,0.9983341097831726,0.019943878054618835,0.4840412437915802,0.9950041770935059,0.9969733357429504,0.9924217462539673,0.5986160635948181,0.920494794845581,0.4169652462005615,0.5051046013832092
39,9999,0.019726067781448364,0.9945492148399353,0.0195686724036932,0.4769095778465271,0.9950014352798462,0.9969477653503418,0.9993475079536438,0.5995463132858276,0.9251439571380615,0.41971555352211,0.5068581700325012
